h=0.5
x	euler	RK4	analytical
0	1	1	1
0.5	5.25	3.21875	3.21875
1	5.875	3	3
1.5	5.125	2.21875	2.21875
2	4.5	2	2
2.5	4.75	2.71875	2.71875
3	5.875	4	4
3.5	7.125	4.71875	4.71875
4	7	3	3
h=0.25
x	euler	RK4	analytical
0	1	1	1
0.25	3.125	2.56055	2.56055
0.5	4.17969	3.21875	3.21875
0.75	4.49219	3.2793	3.2793
1	4.34375	3	3
1.25	3.96875	2.5918	2.5918
1.5	3.55469	2.21875	2.21875
1.75	3.24219	1.99805	1.99805
2	3.125	2	2
2.25	3.25	2.24805	2.24805
2.5	3.61719	2.71875	2.71875
2.75	4.17969	3.3418	3.3418
3	4.84375	4	4
3.25	5.46875	4.5293	4.5293
3.5	5.86719	4.71875	4.71875
3.75	5.80469	4.31055	4.31055
4	5	3	3
h=0.1
x	euler	RK4	analytical
0	1	1	1
0.1	1.85	1.75395	1.75395
0.2	2.5118	2.3312	2.3312
0.3	3.0082	2.75395	2.75395
0.4	3.3608	3.0432	3.0432
0.5	3.59	3.21875	3.21875
0.6	3.715	3.2992	3.2992
0.7	3.7538	3.30195	3.30195
0.8	3.7232	3.2432	3.2432
0.9	3.6388	3.13795	3.13795
1	3.515	3	3
1.1	3.365	2.84195	2.84195
1.2	3.2008	2.6752	2.6752
1.3	3.0332	2.50995	2.50995
1.4	2.8718	2.3552	2.3552
1.5	2.725	2.21875	2.21875
1.6	2.6	2.1072	2.1072
1.7	2.5028	2.02595	2.02595
1.8	2.4382	1.9792	1.9792
1.9	2.4098	1.96995	1.96995
2	2.42	2	2
2.1	2.47	2.06995	2.06995
2.2	2.5598	2.1792	2.1792
2.3	2.6882	2.32595	2.32595
2.4	2.8528	2.5072	2.5072
2.5	3.05	2.71875	2.71875
2.6	3.275	2.9552	2.9552
2.7	3.5218	3.20995	3.20995
2.8	3.7832	3.4752	3.4752
2.9	4.0508	3.74195	3.74195
3	4.315	4	4
3.1	4.565	4.23795	4.23795
3.2	4.7888	4.4432	4.4432
3.3	4.9732	4.60195	4.60195
3.4	5.1038	4.6992	4.6992
3.5	5.165	4.71875	4.71875
3.6	5.14	4.6432	4.6432
3.7	5.0108	4.45395	4.45395
3.8	4.7582	4.1312	4.1312
3.9	4.3618	3.65395	3.65395
4	3.8	3	3
