t0  	x0
0 	0.00537894	
0.01 	0.0108119	
0.02 	0.021632	
0.03 	0.0324599	
0.04 	0.043295	
0.05 	0.054137	
0.06 	0.0649854	
0.07 	0.0758397	
0.08 	0.0866995	
0.09 	0.0975643	
0.1 	0.108434	
0.11 	0.119307	
0.12 	0.130183	
0.13 	0.141063	
0.14 	0.151945	
0.15 	0.162829	
0.16 	0.173714	
0.17 	0.1846	
0.18 	0.195486	
0.19 	0.206372	
0.2 	0.217256	
0.21 	0.228139	
0.22 	0.23902	
0.23 	0.249897	
0.24 	0.260771	
0.25 	0.271641	
0.26 	0.282506	
0.27 	0.293365	
0.28 	0.304218	
0.29 	0.315063	
0.3 	0.325901	
0.31 	0.336731	
0.32 	0.34755	
0.33 	0.35836	
0.34 	0.369159	
0.35 	0.379946	
0.36 	0.390721	
0.37 	0.401482	
0.38 	0.412229	
0.39 	0.422961	
0.4 	0.433677	
0.41 	0.444376	
0.42 	0.455058	
0.43 	0.46572	
0.44 	0.476363	
0.45 	0.486985	
0.46 	0.497586	
0.47 	0.508163	
0.48 	0.518718	
0.49 	0.529247	
0.5 	0.539751	
0.51 	0.550227	
0.52 	0.560676	
0.53 	0.571096	
0.54 	0.581485	
0.55 	0.591843	
0.56 	0.602169	
0.57 	0.61246	
0.58 	0.622717	
0.59 	0.632938	
0.6 	0.643121	
0.61 	0.653265	
0.62 	0.663369	
0.63 	0.673432	
0.64 	0.683452	
0.65 	0.693428	
0.66 	0.703359	
0.67 	0.713242	
0.68 	0.723077	
0.69 	0.732862	
0.7 	0.742596	
0.71 	0.752277	
0.72 	0.761904	
0.73 	0.771475	
0.74 	0.780988	
0.75 	0.790442	
0.76 	0.799835	
0.77 	0.809166	
0.78 	0.818432	
0.79 	0.827633	
0.8 	0.836765	
0.81 	0.845829	
0.82 	0.854821	
0.83 	0.863739	
0.84 	0.872583	
0.85 	0.88135	
0.86 	0.890038	
0.87 	0.898645	
0.88 	0.907169	
0.89 	0.915609	
0.9 	0.923961	
0.91 	0.932225	
0.92 	0.940397	
0.93 	0.948476	
0.94 	0.956459	
0.95 	0.964345	
0.96 	0.972131	
0.97 	0.979814	
0.98 	0.987392	
0.99 	0.994864	
