 X 	   Y	 analytical
1 	25.8633	   17
1.1 	32.3475	   15.7555
1.2 	36.73	   14.7733
1.3 	39.5443	   13.9977
1.4 	41.3017	   13.3886
1.5 	42.39	   12.9167
1.6 	43.0705	   12.56
1.7 	43.5085	   12.3018
1.8 	43.8052	   12.1289
1.9 	44.021	   12.0311
2 	44.1917	   12
2.1 	44.3387	   12.029
2.2 	44.4745	   12.1127
2.3 	44.6065	   12.2465
2.4 	44.7394	   12.4267
2.5 	44.8762	   12.65
2.6 	45.0186	   12.9138
2.7 	45.1682	   13.2159
2.8 	45.326	   13.5543
2.9 	45.4928	   13.9272
3 	45.6696	   14.3333
1 	20.1281	   17
1.1 	22.602	   15.7555
1.2 	24.5077	   14.7733
1.3 	25.9511	   13.9977
1.4 	27.0355	   13.3886
1.5 	27.8504	   12.9167
1.6 	28.4685	   12.56
1.7 	28.9457	   12.3018
1.8 	29.3239	   12.1289
1.9 	29.6341	   12.0311
2 	29.8985	   12
2.1 	30.1332	   12.029
2.2 	30.3499	   12.1127
2.3 	30.5569	   12.2465
2.4 	30.7603	   12.4267
2.5 	30.9645	   12.65
2.6 	31.173	   12.9138
2.7 	31.3882	   13.2159
2.8 	31.6122	   13.5543
2.9 	31.8467	   13.9272
3 	32.093	   14.3333
1 	17.4415	   17
1.1 	17.8355	   15.7555
1.2 	18.1906	   14.7733
1.3 	18.5141	   13.9977
1.4 	18.8127	   13.3886
1.5 	19.092	   12.9167
1.6 	19.3566	   12.56
1.7 	19.6109	   12.3018
1.8 	19.8584	   12.1289
1.9 	20.1021	   12.0311
2 	20.3448	   12
2.1 	20.5889	   12.029
2.2 	20.8363	   12.1127
2.3 	21.0892	   12.2465
2.4 	21.349	   12.4267
2.5 	21.6175	   12.65
2.6 	21.896	   12.9138
2.7 	22.1861	   13.2159
2.8 	22.4888	   13.5543
2.9 	22.8055	   13.9272
3 	23.1373	   14.3333
1 	16.4208	   17
1.1 	15.9884	   15.7555
1.2 	15.6747	   14.7733
1.3 	15.4581	   13.9977
1.4 	15.3223	   13.3886
1.5 	15.2543	   12.9167
1.6 	15.244	   12.56
1.7 	15.283	   12.3018
1.8 	15.365	   12.1289
1.9 	15.4847	   12.0311
2 	15.638	   12
2.1 	15.8214	   12.029
2.2 	16.0325	   12.1127
2.3 	16.269	   12.2465
2.4 	16.5296	   12.4267
2.5 	16.8131	   12.65
2.6 	17.1185	   12.9138
2.7 	17.4456	   13.2159
2.8 	17.7939	   13.5543
2.9 	18.1633	   13.9272
3 	18.554	   14.3333
1 	16.0248	   17
1.1 	15.2663	   15.7555
1.2 	14.6801	   14.7733
1.3 	14.234	   13.9977
1.4 	13.9036	   13.3886
1.5 	13.6706	   12.9167
1.6 	13.5204	   12.56
1.7 	13.4417	   12.3018
1.8 	13.4255	   12.1289
1.9 	13.4644	   12.0311
2 	13.5526	   12
2.1 	13.6852	   12.029
2.2 	13.8583	   12.1127
2.3 	14.0685	   12.2465
2.4 	14.3132	   12.4267
2.5 	14.5903	   12.65
2.6 	14.898	   12.9138
2.7 	15.2349	   13.2159
2.8 	15.5998	   13.5543
2.9 	15.9919	   13.9272
3 	16.4104	   14.3333
1 	15.8522	   17
1.1 	14.9505	   15.7555
1.2 	14.2433	   14.7733
1.3 	13.6933	   13.9977
1.4 	13.2731	   13.3886
1.5 	12.9619	   12.9167
1.6 	12.7438	   12.56
1.7 	12.6062	   12.3018
1.8 	12.5392	   12.1289
1.9 	12.5348	   12.0311
2 	12.5867	   12
2.1 	12.6896	   12.029
2.2 	12.839	   12.1127
2.3 	13.0313	   12.2465
2.4 	13.2636	   12.4267
2.5 	13.5333	   12.65
2.6 	13.8383	   12.9138
2.7 	14.1769	   13.2159
2.8 	14.5474	   13.5543
2.9 	14.9488	   13.9272
3 	15.3798	   14.3333
1 	15.7706	   17
1.1 	14.801	   15.7555
1.2 	14.036	   14.7733
1.3 	13.4362	   13.9977
1.4 	12.9724	   13.3886
1.5 	12.6229	   12.9167
1.6 	12.371	   12.56
1.7 	12.2037	   12.3018
1.8 	12.1108	   12.1289
1.9 	12.084	   12.0311
2 	12.1167	   12
2.1 	12.2035	   12.029
2.2 	12.3399	   12.1127
2.3 	12.522	   12.2465
2.4 	12.7469	   12.4267
2.5 	13.0117	   12.65
2.6 	13.3143	   12.9138
2.7 	13.6528	   13.2159
2.8 	14.0254	   13.5543
2.9 	14.4308	   13.9272
3 	14.8677	   14.3333
1 	15.7302	   17
1.1 	14.7271	   15.7555
1.2 	13.9335	   14.7733
1.3 	13.3087	   13.9977
1.4 	12.8232	   13.3886
1.5 	12.4544	   12.9167
1.6 	12.1854	   12.56
1.7 	12.003	   12.3018
1.8 	11.8968	   12.1289
1.9 	11.8585	   12.0311
2 	11.8812	   12
2.1 	11.9595	   12.029
2.2 	12.0889	   12.1127
2.3 	12.2656	   12.2465
2.4 	12.4863	   12.4267
2.5 	12.7484	   12.65
2.6 	13.0495	   12.9138
2.7 	13.3876	   13.2159
2.8 	13.7611	   13.5543
2.9 	14.1684	   13.9272
3 	14.6081	   14.3333
1 	15.7098	   17
1.1 	14.6897	   15.7555
